상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,행정동코드,법정동코드,지번주소,도로명주소,신우편번호,경도,위도
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 1011-6,제주특별자치도 제주시 중앙로 270-4,63206,126.5319191,33.4957907
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대륜동,호근동,5013059000,5013010400,제주특별자치도 서귀포시 호근동 1764-17,제주특별자치도 서귀포시 호근서호로 125,63569,126.5276175,33.25715186
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,용담2동,용담이동,5011058000,5011010900,제주특별자치도 제주시 용담이동 359-68,제주특별자치도 제주시 흥운길 31,63156,126.5118682,33.51172566
그등애마트편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025927,제주특별자치도 서귀포시 성산읍 신산리 680-5,제주특별자치도 서귀포시 성산읍 일주동로 5023,63634,126.8823298,33.3860851
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,외도동,도평동,5011067000,5011013800,제주특별자치도 제주시 도평동 936,제주특별자치도 제주시 도평길 80,63076,126.4520847,33.47890643
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,노형동,해안동,5011066000,5011013900,제주특별자치도 제주시 해안동 2374,제주특별자치도 제주시 노형로 2,63077,126.4483436,33.46063903
어리목휴게소,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,노형동,해안동,5011066000,5011013900,제주특별자치도 제주시 해안동 산220-13,제주특별자치도 제주시 1100로 2070-61,63077,126.494898,33.39267507
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025333,제주특별자치도 제주시 애월읍 고내리 79-8,제주특별자치도 제주시 애월읍 애월해안로 400-9,63046,126.3513233,33.47142227
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,남원읍,남원읍,5013025300,5013025322,제주특별자치도 서귀포시 남원읍 태흥리 257-3,제주특별자치도 서귀포시 남원읍 일주동로 6793,63617,126.7533997,33.29036633
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,봉개동,봉개동,5011062000,5011011600,제주특별자치도 제주시 봉개동 2689-15,제주특별자치도 제주시 번영로 388,63313,126.5843474,33.49503043
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 278,제주특별자치도 제주시 연동8길 29,63136,126.4909458,33.48318134
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,도두동,도두일동,5011069000,5011012700,제주특별자치도 제주시 도두일동 2625-5,제주특별자치도 제주시 서해안로 160,63112,126.4661616,33.5036581
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,중문동,하원동,5013061000,5013011800,제주특별자치도 서귀포시 하원동 1885,제주특별자치도 서귀포시 1100로 501,63553,126.4562771,33.29000616
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025024,제주특별자치도 제주시 한림읍 한림리 1328-14,제주특별자치도 제주시 한림읍 한림해안로 143,63032,126.2616434,33.41571709
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,동홍동,동홍동,5013057000,5013010500,제주특별자치도 서귀포시 동홍동 1682,제주특별자치도 서귀포시 중산간동로 8004,63579,126.5616523,33.26467296
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025033,제주특별자치도 제주시 한림읍 금능리 1298-1,제주특별자치도 제주시 한림읍 한림로 203,63010,126.2296631,33.38648779
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,정방동,서귀동,5013052000,5013010100,제주특별자치도 서귀포시 서귀동 417-19,제주특별자치도 서귀포시 이중섭로 16,63595,126.5639746,33.24671264
아라편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,아라동,아라일동,5011063000,5011011700,제주특별자치도 제주시 아라일동 2340-1,제주특별자치도 제주시 중앙로 486,63236,126.5434425,33.4798065
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,삼양동,도련일동,5011061000,5011013000,제주특별자치도 제주시 도련일동 1652-1,제주특별자치도 제주시 도련길 1,63325,126.5895949,33.50920004
번영휴게소편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,표선면,표선면,5013032000,5013032021,제주특별자치도 서귀포시 표선면 표선리 290-4,제주특별자치도 서귀포시 표선면 번영로 3521-2,63628,126.8290661,33.33457043
더조은마트편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,표선면,표선면,5013032000,5013032025,제주특별자치도 서귀포시 표선면 세화리 133-6,제주특별자치도 서귀포시 표선면 일주동로 6209,63625,126.8085759,33.30741657
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025924,제주특별자치도 서귀포시 성산읍 고성리 297-1,제주특별자치도 서귀포시 성산읍 동류암로 20,63640,126.9182217,33.44985145
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 1011,제주특별자치도 제주시 중앙로 262,63206,126.5315851,33.49645391
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,화북동,화북일동,5011060000,5011011100,제주특별자치도 제주시 화북일동 13-6,제주특별자치도 제주시 동화로1길 45-10,63302,126.577381,33.51831058
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025921,제주특별자치도 서귀포시 성산읍 성산리 399-16,제주특별자치도 서귀포시 성산읍 일출로 234,63643,126.9310239,33.46014194
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,일도1동,일도일동,5011051000,5011010100,제주특별자치도 제주시 일도일동 1305,제주특별자치도 제주시 관덕로15길 15,63277,126.5266071,33.51461558
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,일도1동,일도일동,5011051000,5011010100,제주특별자치도 제주시 일도일동 1100-4,제주특별자치도 제주시 중앙로13길 34-10,63264,126.5287438,33.51110682
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025027,제주특별자치도 제주시 한림읍 명월리 1671-4,제주특별자치도 제주시 한림읍 명월로 86,63014,126.266562,33.38566544
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 754-4,제주특별자치도 제주시 과원로 11,63090,126.4853382,33.47650443
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,영천동,토평동,5013056000,5013011100,제주특별자치도 서귀포시 토평동 1284,제주특별자치도 서귀포시 중산간동로 7738,63603,126.5895433,33.2681662
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,구좌읍,구좌읍,5011025600,5011025628,제주특별자치도 제주시 구좌읍 세화리 1479-1,제주특별자치도 제주시 구좌읍 해맞이해안로 1440,63361,126.8591275,33.52472445
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,안덕면,안덕면,5013031000,5013031021,제주특별자치도 서귀포시 안덕면 화순리 333-1,제주특별자치도 서귀포시 안덕면 화순로 98,63530,126.3360465,33.24684696
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,동홍동,동홍동,5013057000,5013010500,제주특별자치도 서귀포시 동홍동 508-9,제주특별자치도 서귀포시 동홍로90번길 9,63588,126.5691784,33.25660923
뉴대장금편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,예래동,상예동,5013062000,5013012000,제주특별자치도 서귀포시 상예동 4633-1,제주특별자치도 서귀포시 일주서로 1299,63537,126.3742657,33.2642391
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025924,제주특별자치도 서귀포시 성산읍 고성리 127-3,제주특별자치도 서귀포시 성산읍 섭지코지로 95,63642,126.927853,33.43284008
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대천동,도순동,5013060000,5013011700,제주특별자치도 서귀포시 도순동 820-4,제주특별자치도 서귀포시 일주서로 327,63561,126.4737525,33.2524722
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,예래동,색달동,5013062000,5013011900,제주특별자치도 서귀포시 색달동 2506-1,제주특별자치도 서귀포시 중문관광로 31,63534,126.4145204,33.25538249
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대천동,강정동,5013060000,5013011600,제주특별자치도 서귀포시 강정동 3700-4,제주특별자치도 서귀포시 용흥로66번길 158-7,63556,126.4846531,33.26562461
세븐일레븐서귀포라사니아리조트점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025927,제주특별자치도 서귀포시 성산읍 신산리 1180,제주특별자치도 서귀포시 성산읍 일주동로 5199,63634,126.8726903,33.37349219
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대천동,강정동,5013060000,5013011600,제주특별자치도 서귀포시 강정동 231-2,제주특별자치도 서귀포시 월드컵로 8,63560,126.5073775,33.24898544
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,삼도2동,삼도이동,5011056000,5011010600,제주특별자치도 제주시 삼도이동 1241-13,제주특별자치도 제주시 중앙로 144,63179,126.525324,33.5058731
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 756,제주특별자치도 제주시 한라대학로 63,63089,126.4774172,33.47666882
세븐일레븐제주협재점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025031,제주특별자치도 제주시 한림읍 협재리 1732,제주특별자치도 제주시 한림읍 한림로 359,63011,126.2420068,33.3952369
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025029,제주특별자치도 제주시 한림읍 상대리 4531-5,제주특별자치도 제주시 한림읍 한림중앙로 281,63022,126.2778484,33.39317018
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025021,제주특별자치도 서귀포시 대정읍 상모리 133-8,제주특별자치도 서귀포시 대정읍 형제해안로 322-1,63513,126.2896796,33.20681932
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,영천동,상효동,5013056000,5013010700,제주특별자치도 서귀포시 상효동 2211,제주특별자치도 서귀포시 산록남로 2754,63582,126.576766,33.30221866
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,구좌읍,구좌읍,5011025600,5011025633,제주특별자치도 제주시 구좌읍 평대리 3164-1,제주특별자치도 제주시 구좌읍 비자숲길 62,63351,126.8103044,33.49123
레몬비,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025021,제주특별자치도 제주시 한림읍 귀덕리 4143,제주특별자치도 제주시 한림읍 한림해안로 592-1,63024,126.2775456,33.44063211
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,노형동,해안동,5011066000,5011013900,제주특별자치도 제주시 해안동 2545-1,제주특별자치도 제주시 해안마을서4길 105,63077,126.4515075,33.45269071
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 1956-2,제주특별자치도 제주시 남녕로 28,63128,126.4815357,33.49034204
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,도두동,도두이동,5011069000,5011012800,제주특별자치도 제주시 도두이동 680,제주특별자치도 제주시 서해안로 368,63115,126.4842158,33.51128218
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대륜동,법환동,5013059000,5013010200,제주특별자치도 서귀포시 법환동 740-7,제주특별자치도 서귀포시 신서로48번길 52-11,63566,126.5105004,33.25212441
삼한코사,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 293-25,제주특별자치도 제주시 연동13길 33,63123,126.494642,33.48658014
영농농수산편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대천동,강정동,5013060000,5013011600,제주특별자치도 서귀포시 강정동 3301-1,제주특별자치도 서귀포시 일주서로 177,63560,126.4893715,33.25026467
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025028,제주특별자치도 제주시 한림읍 옹포리 792-1,제주특별자치도 제주시 한림읍 월계로 66,63012,126.257095,33.39962391
레몬비,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025337,제주특별자치도 제주시 애월읍 곽지리 1575-3,제주특별자치도 제주시 애월읍 곽지3길 27,63034,126.3044839,33.44942382
레몬비,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025333,제주특별자치도 제주시 애월읍 고내리 1157,제주특별자치도 제주시 애월읍 애월해안로 232,63045,126.3367551,33.46706247
GS25서귀공천포점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,남원읍,남원읍,5013025300,5013025329,제주특별자치도 서귀포시 남원읍 신례리 30-3,제주특별자치도 서귀포시 남원읍 일주동로 7897,63612,126.6419286,33.26621592
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025341,제주특별자치도 제주시 애월읍 하귀2리 2740,제주특별자치도 제주시 애월읍 애월해안로 869,63050,126.3905907,33.48756232
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,남원읍,남원읍,5013025300,5013025321,제주특별자치도 서귀포시 남원읍 남원리 105,제주특별자치도 서귀포시 남원읍 태위로 673,63621,126.7183403,33.27909097
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025341,제주특별자치도 제주시 애월읍 하귀2리 1927-13,제주특별자치도 제주시 애월읍 하귀로 24,63050,126.3999957,33.47988568
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,화북동,화북일동,5011060000,5011011100,제주특별자치도 제주시 화북일동 1238,제주특별자치도 제주시 일주동로 250,63300,126.5720407,33.51970968
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,안덕면,안덕면,5013031000,5013031022,제주특별자치도 서귀포시 안덕면 창천리 890-4,제주특별자치도 서귀포시 안덕면 대평감산로 35,63533,126.3660736,33.23791377
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,봉개동,봉개동,5011062000,5011011600,제주특별자치도 제주시 봉개동 1871,제주특별자치도 제주시 번영로 524,63313,126.59708,33.48886416
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,동홍동,동홍동,5013057000,5013010500,제주특별자치도 서귀포시 동홍동 117-9,제주특별자치도 서귀포시 동홍중앙로 49,63588,126.5718978,33.2550266
코리아세븐서귀포,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,안덕면,안덕면,5013031000,5013031025,제주특별자치도 서귀포시 안덕면 사계리 2674-2,제주특별자치도 서귀포시 안덕면 사계남로21번길 30-5,63528,126.2962953,33.23124348
오뚜기슈퍼,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,표선면,표선면,5013032000,5013032024,제주특별자치도 서귀포시 표선면 가시리 2519-1,제주특별자치도 서귀포시 표선면 녹산로 6,63622,126.7663969,33.36152662
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,노형동,해안동,5011066000,5011013900,제주특별자치도 제주시 해안동 2171,제주특별자치도 제주시 노형로 121,63076,126.4573001,33.46751257
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,아라동,아라이동,5011063000,5011011800,제주특별자치도 제주시 아라이동 3005-3,제주특별자치도 제주시 신설로11길 15,63229,126.5448227,33.49248989
코리아세븐서귀포더포그레이스,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025923,제주특별자치도 서귀포시 성산읍 시흥리 200,제주특별자치도 서귀포시 성산읍 해맞이해안로 2670,63638,126.9108958,33.47318466
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이도2동,도남동,5011054000,5011012900,제주특별자치도 제주시 도남동 68-8,제주특별자치도 제주시 도남로17길 3,63221,126.529347,33.49008028
대림마트,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이호동,이호이동,5011068000,5011012600,제주특별자치도 제주시 이호이동 842-12,제주특별자치도 제주시 오도길 13,63109,126.4602434,33.49389289
코리아세븐제주대,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,아라동,아라일동,5011063000,5011011700,제주특별자치도 제주시 아라일동 1,제주특별자치도 제주시 제주대학로 64-29,63243,126.5568971,33.45608099
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025921,제주특별자치도 제주시 조천읍 신촌리 1789-3,제주특별자치도 제주시 조천읍 신북로 88,63337,126.6230642,33.53515455
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,삼양동,삼양이동,5011061000,5011011400,제주특별자치도 제주시 삼양이동 2181-33,제주특별자치도 제주시 지석14길 15,63321,126.585624,33.51974833
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,동홍동,동홍동,5013057000,5013010500,제주특별자치도 서귀포시 동홍동 567,제주특별자치도 서귀포시 동홍로 108,63588,126.5687553,33.25820923
GS25곽지해변점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025337,제주특별자치도 제주시 애월읍 곽지리 1581-14,제주특별자치도 제주시 애월읍 곽지1길 28,63034,126.3043712,33.44858384
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025334,제주특별자치도 제주시 애월읍 애월리 2505,제주특별자치도 제주시 애월읍 애월로1길 8,63043,126.3126856,33.46295968
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 264,제주특별자치도 제주시 남광로 128,63228,126.5478804,33.49818766
GS25제주아라점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,아라동,아라이동,5011063000,5011011800,제주특별자치도 제주시 아라이동 1370-4,제주특별자치도 제주시 간월동로 6,63246,126.5435705,33.48501913
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025924,제주특별자치도 서귀포시 성산읍 고성리 127-2,제주특별자치도 서귀포시 성산읍 섭지코지로 107,63642,126.9265067,33.42602106
예진이네슈퍼,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,표선면,표선면,5013032000,5013032025,제주특별자치도 서귀포시 표선면 세화리 1169-4,제주특별자치도 서귀포시 표선면 세성로 269,63625,126.7979703,33.32906193
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,삼도2동,삼도이동,5011056000,5011010600,제주특별자치도 제주시 삼도이동 803-1,제주특별자치도 제주시 서사로 25,63169,126.5200736,33.51021016
우리들농수산.편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025030,제주특별자치도 서귀포시 대정읍 구억리 1018-3,제주특별자치도 서귀포시 대정읍 영어도시로 70,63519,126.2794924,33.27848849
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,일도2동,일도이동,5011052000,5011010200,제주특별자치도 제주시 일도이동 133-10,제주특별자치도 제주시 동광로19길 55,63250,126.5404407,33.51315653
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 2442,제주특별자치도 제주시 제성1길 16,63116,126.4824884,33.49494269
코리아세븐제주,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025324,제주특별자치도 제주시 애월읍 구엄리 1235,제주특별자치도 제주시 애월읍 애월해안로 672,63049,126.3741839,33.48115448
세븐일레븐구남로점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 2029-1,제주특별자치도 제주시 구남동2길 47,63233,126.5335012,33.488119
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 1950-1,제주특별자치도 제주시 신설로7길 57,63227,126.5472767,33.4956742
해안길편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,우도면,우도면,5011033000,5011033021,제주특별자치도 제주시 우도면 연평리 751,제주특별자치도 제주시 우도면 우도해안길 690,63365,126.958233,33.51997152
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 1948-10,제주특별자치도 제주시 신설로7길 25,63227,126.5446816,33.49384961
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 2303-5,제주특별자치도 제주시 일주서로 7850,63127,126.4852795,33.49347123
비마이프렌드,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대륜동,법환동,5013059000,5013010200,제주특별자치도 서귀포시 법환동 1653-2,제주특별자치도 서귀포시 월드컵로30번길 2,63560,126.5067115,33.24713818
코리아세븐제주연동청원점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 2333-9,제주특별자치도 제주시 도령로 131,63126,126.4909564,33.49311676
아름이네편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 251-81,제주특별자치도 제주시 연동1길 14,63129,126.4866092,33.48879031
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 1065-2,제주특별자치도 제주시 연삼로 402,63223,126.5346434,33.4950476
하와이편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 279-7,제주특별자치도 제주시 연동10길 36,63136,126.4917283,33.48273107
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 1234,제주특별자치도 제주시 가령로 26,63213,126.5367338,33.50191525
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,효돈동,하효동,5013055000,5013010800,제주특별자치도 서귀포시 하효동 999,제주특별자치도 서귀포시 쇠소깍로 151-8,63600,126.6212352,33.25055241
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,용담2동,용담이동,5011058000,5011010900,제주특별자치도 제주시 용담이동 359-60,제주특별자치도 제주시 용담로 89,63152,126.512289,33.51228969
뜬드르코사마트,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,예래동,하예동,5013062000,5013012100,제주특별자치도 서귀포시 하예동 140-1,제주특별자치도 서귀포시 예래로 271,63538,126.3854536,33.24236825
어촌계편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,한경면,한경면,5011031000,5011031022,제주특별자치도 제주시 한경면 용수리 4240,제주특별자치도 제주시 한경면 한경해안로 156,63009,126.1660765,33.32397193
GS25편의점동홍대림점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,동홍동,동홍동,5013057000,5013010500,제주특별자치도 서귀포시 동홍동 499-13,제주특별자치도 서귀포시 동홍중앙로 50,63587,126.5722943,33.2550582
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,한경면,한경면,5011031000,5011031030,제주특별자치도 제주시 한경면 저지리 1724-5,제주특별자치도 제주시 한경면 중산간서로 3662,63005,126.2561703,33.33125585
삼성편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025022,제주특별자치도 서귀포시 대정읍 하모리 944-1,제주특별자치도 서귀포시 대정읍 하모중앙로 74,63507,126.251955,33.22167571
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,천지동,서홍동,5013054000,5013010600,제주특별자치도 서귀포시 서홍동 666-1,제주특별자치도 서귀포시 남성중로 2-15,63594,126.5596082,33.24470564
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 565,제주특별자치도 제주시 삼동길 34,63142,126.4950351,33.47815523
세븐일레븐제주웰컴센터점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 314-90,제주특별자치도 제주시 선덕로6길 2,63134,126.4996032,33.48526992
GS25노형중점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 3810-10,제주특별자치도 제주시 노형5길 42,63088,126.4744279,33.47965231
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 2328-1,제주특별자치도 제주시 도령로11길 26-4,63126,126.487122,33.49270937
다다마트,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025031,제주특별자치도 제주시 한림읍 협재리 1901,제주특별자치도 제주시 한림읍 한림로 382,63011,126.2438634,33.39644421
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025022,제주특별자치도 서귀포시 대정읍 하모리 1450,제주특별자치도 서귀포시 대정읍 하모중앙로 6,63507,126.2523606,33.22771285
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,삼도2동,삼도이동,5011056000,5011010600,제주특별자치도 제주시 삼도이동 1240-7,제주특별자치도 제주시 중앙로24길 27,63179,126.5225616,33.50566889
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,삼양동,도련이동,5011061000,5011013100,제주특별자치도 제주시 도련이동 550,제주특별자치도 제주시 화삼로 110,63324,126.5866577,33.5144318
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 2919-1,제주특별자치도 제주시 월광로 25,63094,126.4641808,33.48419585
킹스토어,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025021,제주특별자치도 서귀포시 대정읍 상모리 3855-3,제주특별자치도 서귀포시 대정읍 동일하모로 239,63508,126.2568301,33.22573804
