상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,행정동코드,법정동코드,지번주소,도로명주소,신우편번호,경도,위도
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,아라동,아라이동,5011063000,5011011800,제주특별자치도 제주시 아라이동 35-19,제주특별자치도 제주시 제주대학로 105-1,63249,126.5611834,33.46030515
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,아라동,아라이동,5011063000,5011011800,제주특별자치도 제주시 아라이동 1417-1,제주특별자치도 제주시 간월동로 33,63245,126.5458201,33.48689378
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025928,제주특별자치도 제주시 조천읍 와산리 1488-39,제주특별자치도 제주시 조천읍 중산간동로 849,63342,126.6728734,33.4917367
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,아라동,아라일동,5011063000,5011011700,제주특별자치도 제주시 아라일동 6075-9,제주특별자치도 제주시 아란12길 24,63238,126.5442952,33.46934919
GS25제주아라점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,아라동,아라일동,5011063000,5011011700,제주특별자치도 제주시 아라일동 6082-2,제주특별자치도 제주시 중앙로 576,63238,126.5453482,33.47200318
코리아세븐제주함덕게스트하,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025924,제주특별자치도 제주시 조천읍 함덕리 261-10,제주특별자치도 제주시 조천읍 신북로 643,63333,126.6781867,33.54072298
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,삼도1동,삼도일동,5011055000,5011010500,제주특별자치도 제주시 삼도일동 518-5,제주특별자치도 제주시 서광로 189,63183,126.5167034,33.50020749
그린코사마트,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,삼도2동,삼도이동,5011056000,5011010600,제주특별자치도 제주시 삼도이동 1134-1,제주특별자치도 제주시 무근성길 36,63167,126.5194539,33.5149991
CU제주아스타호텔점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 912-1,제주특별자치도 제주시 원노형3길 37,63081,126.4821299,33.48650864
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 777,제주특별자치도 제주시 구남로 43,63222,126.5337068,33.49124088
제주24시편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,용담2동,용담삼동,5011058000,5011011000,제주특별자치도 제주시 용담삼동 2363,제주특별자치도 제주시 서해안로 488,63114,126.4913239,33.51906832
이호해변슈퍼,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이호동,이호일동,5011068000,5011012500,제주특별자치도 제주시 이호일동 1667-1,제주특별자치도 제주시 테우해안로 174,63111,126.4522172,33.49685819
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025921,제주특별자치도 서귀포시 성산읍 성산리 363-5,제주특별자치도 서귀포시 성산읍 한도로 200,63643,126.9292253,33.46818702
오클리스카이힐점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,예래동,색달동,5013062000,5013011900,제주특별자치도 서귀포시 색달동 240,제주특별자치도 서귀포시 상예로 530,63549,126.4053347,33.28726223
엘지이십오탑동점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,건입동,건입동,5011059000,5011010700,제주특별자치도 제주시 건입동 1417,제주특별자치도 제주시 중앙로 21,63277,126.5250493,33.51635511
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,일도2동,일도이동,5011052000,5011010200,제주특별자치도 제주시 일도이동 100-6,제주특별자치도 제주시 태성로 34-1,63261,126.5492802,33.50007032
CU제주정방폭포점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,동홍동,동홍동,5013057000,5013010500,제주특별자치도 서귀포시 동홍동 257-1,제주특별자치도 서귀포시 칠십리로214번길 14,63597,126.5752006,33.2459131
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,남원읍,남원읍,5013025300,5013025322,제주특별자치도 서귀포시 남원읍 태흥리 536-1,제주특별자치도 서귀포시 남원읍 태신로 1,63617,126.7453383,33.28653441
보광훼미리마트벨라테라스점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025924,제주특별자치도 서귀포시 성산읍 고성리 182,제주특별자치도 서귀포시 성산읍 섭지코지로 93-66,63642,126.9302109,33.43260798
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025921,제주특별자치도 서귀포시 성산읍 성산리 182-5,제주특별자치도 서귀포시 성산읍 성산중앙로 44,63643,126.933854,33.46357449
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025024,제주특별자치도 제주시 한림읍 한림리 1534-12,제주특별자치도 제주시 한림읍 한림로4길 27,63032,126.2629831,33.41052496
목석원농수산물직판장,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,아라동,아라일동,5011063000,5011011700,제주특별자치도 제주시 아라일동 667-3,제주특별자치도 제주시 중앙로 640,63241,126.5486529,33.46736272
블루하와이편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025033,제주특별자치도 제주시 한림읍 금능리 2005,제주특별자치도 제주시 한림읍 한림로 77,63010,126.218055,33.3813091
킹스토아,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,동홍동,동홍동,5013057000,5013010500,제주특별자치도 서귀포시 동홍동 508-9,제주특별자치도 서귀포시 동홍로90번길 9,63588,126.5691784,33.25660923
지에스,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 1023-4,제주특별자치도 제주시 일주서로 7778,63096,126.477448,33.4933572
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,남원읍,남원읍,5013025300,5013025321,제주특별자치도 서귀포시 남원읍 남원리 1337-10,제주특별자치도 서귀포시 남원읍 태위로 623,63621,126.7132826,33.27774939
장안편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025022,제주특별자치도 서귀포시 대정읍 하모리 1169-7,제주특별자치도 서귀포시 대정읍 신영로 33,63507,126.2480921,33.22282044
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 17-4,제주특별자치도 제주시 1100로 2576-10,63080,126.4915698,33.41796005
코리아세븐제주,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,일도2동,일도이동,5011052000,5011010200,제주특별자치도 제주시 일도이동 47-1,제주특별자치도 제주시 천수로 68,63258,126.5437226,33.5048556
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025024,제주특별자치도 제주시 한림읍 한림리 1355-1,제주특별자치도 제주시 한림읍 한림로 661,63032,126.2637539,33.41446647
